Feature,Count
Paralithic Contact,390
Aquic Conditions,317
Argillic Horizon,259
Volcanic Glass,241
Lithic Contact,231
Andic Soil Properties,201
Slickensides,160
Mollic Epipedon,159
Linear Extensibility,159
Kandic Horizon,158
Duripan,115
Plinthite,80
Petrocalcic Horizon,75
Lamellae,62
Natric Horizon,61
Calcic Horizon,54
Petroferric Contact,48
Spodic Horizon,38
Umbric Epipedon,37
Fragic Soil Properties,37
Fragipan,34
Histic Epipedon,32
Surface Tier,28
Cambic Horizon,26
Glossic Horizon,26
Abrupt Textural Change,24
Free Carbonates,23
Sulfidic Materials,22
Albic Materials,19
Sulfuric Horizon,19
Gypsic Horizon,18
Interfingering of Albic Materials,18
Glacic Layer,18
Placic Horizon,17
Salic Horizon,17
Subsurface Tier,16
Albic Horizon,15
Oxic Horizon,13
Folistic Epipedon,12
Petrogypsic Horizon,12
Gelic Materials,11
n Value,9
Identifiable Secondary Carbonates,8
Anthropic Epipedon,7
Plaggen Epipedon,7
Human-Transported Material,7
Melanic Epipedon,6
Fibric Soil Materials,6
Sombric Horizon,5
Sapric Soil Materials,5
Fibers,4
Ochric Epipedon,3
Densic Contact,3
Permafrost,3
Anhydritic Horizon,2
Anhydrous Conditions,2
Hemic Soil Materials,2
Human-Altered Material,2
Resistant Minerals,1
Spodic Materials,1
Humilluvic Material,1
Cryoturbation,1
